1078740992,1078743039,US
1078743040,1078746111,CO
1078746112,1078747135,PE
1078747136,1078749183,CL
1078749184,1078750231,PE
1078750232,1078750239,CA
1078750240,1078751231,PE
1078751232,1078753279,CO
1078753280,1078755327,AR
1078755328,1078757375,PE
1078757376,1078767615,CL
1078767616,1078768639,CO
1078768640,1078769663,CL
1078769664,1078771711,CO
1078771712,1078773759,EC
1078773760,1078775807,PE
1078775808,1078777855,CO
1078777856,1078780927,EC
1078780928,1078904831,US
1078906880,1078952831,US
1078952832,1078952895,GB
1078952896,1078956799,US
1078956800,1078957055,GB
1078957056,1079320575,US
1079320576,1079328767,CA
1079328768,1079329919,US
1079329920,1079329951,CA
1079329952,1079357439,US
1079361536,1079377919,US
1079377920,1079378943,CA
1079378944,1079379199,US
1079379200,1079379455,CA
1079379456,1079379711,US
1079379712,1079380927,CA
1079380928,1079381183,US
1079381184,1079381503,CA
1079381504,1079381599,US
1079381600,1079381631,WS
1079381632,1079382015,US
1079382016,1079382783,CA
1079382784,1079383039,US
1079383040,1079383295,VG
1079383296,1079383807,US
1079383808,1079384063,MH
1079384064,1079384575,CA
1079384576,1079385087,ZW
1079385088,1079385855,CA
1079385856,1079386111,SZ
1079386112,1079386623,US
1079386624,1079386879,SG
1079386880,1079387135,EG
1079387136,1079387391,PK
1079387392,1079387647,NG
1079387648,1079387903,US
1079387904,1079388159,PH
1079388160,1079389439,CA
1079389440,1079389695,US
1079389696,1079389951,LC
1079389952,1079391231,CA
1079391232,1079391487,LC
1079391488,1079393279,CA
1079393280,1079393791,US
1079393792,1079394063,CA
1079394064,1079394071,SG
1079394072,1079394079,CA
1079394080,1079394111,US
1079394112,1079394143,AF
1079394144,1079394239,CA
1079394240,1079394303,US
1079394304,1079396095,CA
1079396096,1079396351,US
1079396352,1079397375,CA
1079397376,1079397631,MH
1079397632,1079397887,MY
1079397888,1079398399,US
1079398400,1079399935,CA
1079399936,1079400447,US
1079400448,1079400511,FR
1079400512,1079400703,CA
1079400704,1079400895,US
1079400896,1079401983,CA
1079401984,1079402495,US
1079402496,1079403007,CA
1079403008,1079403519,US
1079403520,1079403775,CA
1079403776,1079404927,US
1079404928,1079405023,CA
1079405024,1079405407,US
1079405408,1079405439,BD
1079405440,1079405567,US
1079405568,1079406079,CA
1079406080,1079406591,PH
1079406592,1079408383,CA
1079408384,1079408415,SA
1079408416,1079408431,CA
1079408432,1079408447,US
1079408448,1079408895,CA
1079408896,1079409407,PK
1079409408,1079409919,CA
1079409920,1079410175,US
1079410176,1079411455,CA
1079411456,1079411711,PK
1079411712,1079412735,CA
1079412736,1079413247,US
1079413248,1079413311,CA
1079413312,1079413343,US
1079413344,1079414271,CA
1079414272,1079415039,US
1079415040,1079415551,CA
1079415552,1079416319,US
1079416320,1079422463,CA
1079422464,1079423487,MZ
1079423488,1079423999,CA
1079424000,1079424767,MZ
1079424768,1079425279,US
1079425280,1079425535,CA
1079425536,1079425551,ZA
1079425552,1079430655,CA
1079430656,1079431167,US
1079431168,1079433215,CA
1079433216,1079435263,CR
1079435264,1079443199,CA
